,text,emotion,polarity,"yelp_revdf[, 2]",,
915,i m not impressed with the concept or the food,unknown,positive,0,,
916,the only thing i wasn t too crazy about was their guacamole as i don t like it puréed,joy,neutral,0,,
917,there is really nothing for me at postinos hope your experience is better,unknown,positive,0,,
918,i got food poisoning here at the buffet,unknown,positive,0,,
919,they brought a fresh batch of fries and i was thinking yay something warm but no,joy,positive,0,,
920,what should have been a hilarious yummy christmas eve dinner to remember was the biggest fail of the entire trip for us,joy,neutral,0,,
921,needless to say i won t be going back anytime soon,unknown,neutral,0,,
922,this place is disgusting,disgust,negative,0,,
923,every time i eat here i see caring teamwork to a professional degree,joy,positive,1,,
924,the ri style calamari was a joke,unknown,positive,0,,
925,however there was so much garlic in the fondue it was barely edible,unknown,negative,0,,
926,i could barely stomach the meal but didn t complain because it was a business lunch,unknown,negative,0,,
927,it was so bad i had lost the heart to finish it,joy,negative,0,,
928,it also took her forever to bring us the check when we asked for it,unknown,positive,0,,
929,we aren t ones to make a scene at restaurants but i just don t get it definitely lost the love after this one,anger,neutral,0,,
930,disappointing experience,unknown,negative,0,,
931,the food is about on par with denny s which is to say not good at all,joy,positive,0,,
932,if you want to wait for mediocre food and downright terrible service then this is the place for you,fear,negative,0,,
933,waaaaaayyyyyyyyyy over rated is all i am saying,unknown,positive,0,,
934,we won t be going back,unknown,positive,0,,
935,the place was fairly clean but the food simply wasn t worth it,unknown,positive,0,,
936,this place lacked style,unknown,positive,0,,
937,the sangria was about half of a glass wine full and was ridiculous,unknown,negative,0,,
938,don t bother coming here,anger,negative,0,,
939,the meat was pretty dry i had the sliced brisket and pulled pork,unknown,positive,0,,
940,the building itself seems pretty neat the bathroom is pretty trippy but i wouldn t eat here again,unknown,positive,0,,
941,it was equally awful,fear,negative,0,,
942,probably not in a hurry to go back,unknown,positive,0,,
943,very slow at seating even with reservation,unknown,negative,0,,
944,not good by any stretch of the imagination,joy,positive,0,,
945,the cashew cream sauce was bland and the vegetables were undercooked,unknown,negative,0,,
946,the chipolte ranch dipping sause was tasteless seemed thin and watered down with no heat,unknown,neutral,0,,
947,it was a bit too sweet not really spicy enough and lacked flavor,unknown,positive,0,,
948,i was very disappointed,unknown,negative,0,,
949,this place is horrible and way overpriced,fear,negative,0,,
950,maybe it s just their vegetarian fare but i ve been twice and i thought it was average at best,unknown,positive,0,,
951,it wasn t busy at all and now we know why,unknown,neutral,0,,
952,the tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu,joy,neutral,0,,
953,the ambiance here did not feel like a buffet setting but more of a douchey indoor garden for tea and biscuits,joy,positive,0,,
954,con spotty service,anger,negative,0,,
955,the fries were not hot and neither was my burger,unknown,positive,0,,
956,but then they came back cold,unknown,neutral,0,,
957,then our food came out disappointment ensued,unknown,negative,0,,
958,the real disappointment was our waiter,unknown,negative,0,,
959,my husband said she was very rude did not even apologize for the bad food or anything,sadness,negative,0,,
960,the only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach,sadness,neutral,0,,
961,insults profound deuchebaggery and had to go outside for a smoke break while serving just to solidify it,unknown,negative,0,,
962,if someone orders two tacos don t you think it may be part of customer service to ask if it is combo or ala cart,unknown,neutral,0,,
963,she was quite disappointed although some blame needs to be placed at her door,unknown,negative,0,,
964,after all the rave reviews i couldn t wait to eat here what a disappointment,unknown,neutral,0,,
965,del taco is pretty nasty and should be avoided if possible,unknown,neutral,0,,
966,it s not hard to make a decent hamburger,unknown,neutral,0,,
967,but i don t like it,joy,positive,0,,
968,hell no will i go back,unknown,neutral,0,,
969,we ve have gotten a much better service from the pizza place next door than the services we received from this restaurant,unknown,positive,0,,
970,i don t know what the big deal is about this place but i won t be back ya all,unknown,positive,0,,
971,i immediately said i wanted to talk to the manager but i did not want to talk to the guy who was doing shots of fireball behind the bar,joy,neutral,0,,
972,the ambiance isn t much better,unknown,positive,0,,
973,unfortunately it only set us up for disapppointment with our entrees,unknown,negative,0,,
974,the food wasn t good,joy,positive,0,,
975,your servers suck wait correction our server heimer sucked,unknown,negative,0,,
976,what happened next was pretty off putting,unknown,positive,0,,
977,too bad cause i know it s family owned i really wanted to like this place,joy,neutral,0,,
978,overpriced for what you are getting,unknown,positive,0,,
979,i vomited in the bathroom mid lunch,unknown,negative,0,,
980,i kept looking at the time and it had soon become minutes yet still no food,unknown,positive,0,,
981,i have been to very few places to eat that under no circumstances would i ever return to and this tops the list,unknown,neutral,0,,
982,we started with the tuna sashimi which was brownish in color and obviously wasn t fresh,unknown,neutral,0,,
983,food was below average,unknown,positive,0,,
984,it sure does beat the nachos at the movies but i would expect a little bit more coming from a restaurant,joy,neutral,0,,
985,all in all ha long bay was a bit of a flop,unknown,negative,0,,
986,the problem i have is that they charge for a sandwich that is no bigger than a subway sub which offers better and more amount of vegetables,joy,neutral,0,,
987,shrimp when i unwrapped it i live only a mile from brushfire it was literally ice cold,joy,neutral,0,,
988,it lacked flavor seemed undercooked and dry,unknown,positive,0,,
989,it really is impressive that the place hasn t closed down,unknown,positive,0,,
990,i would avoid this place if you are staying in the mirage,unknown,negative,0,,
991,the refried beans that came with my meal were dried out and crusty and the food was bland,unknown,negative,0,,
992,spend your money and time some place else,unknown,positive,0,,
993,a lady at the table next to us found a live green caterpillar in her salad,joy,positive,0,,
994,the presentation of the food was awful,fear,negative,0,,
995,i can t tell you how disappointed i was,unknown,negative,0,,
996,i think food should have flavor and texture and both were lacking,unknown,neutral,0,,
997,appetite instantly gone,unknown,positive,0,,
998,overall i was not impressed and would not go back,unknown,positive,0,,
999,the whole experience was underwhelming and i think we ll just go to ninja sushi next time,unknown,positive,0,,
1000,then as if i hadn t wasted enough of my life there they poured salt in the wound by drawing out the time it took to bring the check,unknown,negative,0,,
