,text,emotion,polarity,"amazon_revdf[, 2]",,
955,this is the phone to get for i just bought my s a and all i can say is wow,sadness,neutral,1,,
956,buttons are too small,unknown,positive,0,,
957,just reading on the specs alone makes you say wow,unknown,positive,1,,
958,love it great armband,joy,positive,1,,
959,i really like this product over the motorola because it is allot clearer on the ear piece and the mic,joy,positive,1,,
960,however the keypads are so tinny that i sometimes reach the wrong buttons,unknown,negative,0,,
961,i exchanged the sony ericson z a for this and i m pretty happy with that decision,joy,positive,1,,
962,i was very impressed with the price of the cases,unknown,positive,1,,
963,also makes it easier to hold on to,unknown,positive,1,,
964,i use this product in a motor control center where there is a lot of high voltage humming from the equipment and it works great,anger,positive,1,,
965,it s pretty easy,unknown,positive,1,,
966,i cannot make calls at certain places,unknown,positive,0,,
967,however my girl was complain that some time the phone doesn t wake up like normal phone does,joy,neutral,0,,
968,beautiful styling though,unknown,positive,1,,
969,this company charge me a restocking fee and still not given me my refund back,joy,positive,0,,
970,i m trying to return it for a refund,unknown,negative,0,,
971,i plugged it in only to find out not a darn thing worked,unknown,negative,0,,
972,excellent product,unknown,positive,1,,
973,earbud piece breaks easily,unknown,positive,0,,
974,lousy product,unknown,negative,0,,
975,this phone tries very hard to do everything but fails at it s very ability to be a phone,unknown,neutral,0,,
976,it is the best charger i have seen on the market yet,unknown,positive,1,,
977,sweetest phone,unknown,positive,1,,
978,oh the charger seems to work fine,unknown,positive,1,,
979,it fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal,unknown,positive,1,,
980,not enough volume,unknown,positive,0,,
981,echo problem very unsatisfactory,unknown,negative,0,,
982,you could only take videos at a time and the quality was very poor,sadness,negative,0,,
983,don t waste your money,unknown,negative,0,,
984,i am going to have to be the first to negatively review this product,unknown,positive,0,,
985,adapter does not provide enough charging current,unknown,positive,0,,
986,there was so much hype over this phone that i assumed it was the best my mistake,unknown,neutral,0,,
987,you also cannot take pictures with it in the case because the lense is covered,unknown,positive,0,,
988,phone falls out easily,unknown,positive,0,,
989,it didn t work people can not hear me when i talk,unknown,positive,0,,
990,the text messaging feature is really tricky to use,unknown,negative,0,,
991,i m really disappointed all i have now is a charger that doesn t work,unknown,neutral,0,,
992,painful on the ear,unknown,negative,0,,
993,lasted one day and then blew up,unknown,positive,0,,
994,disappointed,unknown,negative,0,,
995,kind of flops around,joy,positive,0,,
996,the screen does get smudged easily because it touches your ear and face,sadness,negative,0,,
997,what a piece of junk i lose more calls on this phone,unknown,negative,0,,
998,item does not match picture,unknown,positive,0,,
999,the only thing that disappoint me is the infra red port irda,unknown,negative,0,,
1000,you can not answer calls with the unit never worked once,unknown,positive,0,,
